Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Get all Projects,100,1595,976,3832,482.28,0.00%,24.2,398.57,16876.4
Delete all projects,3932,747,231,4344,566.15,0.00%,110.9,92.99,858.6
Create Project A,100,515,453,1279,143.13,0.00%,10.3,8.61,858.2
Create Project B,100,492,459,1235,75.84,0.00%,10.6,8.93,858.5
Project B as Chlid project A,100,484,455,1181,71.17,0.00%,10.9,9.14,859.4
Create Item X,100,486,456,1257,78.64,0.00%,11.0,10.61,985.6
Change priority Task,100,482,454,1225,75.64,0.00%,10.7,10.31,985.2
Create Item Y,100,538,453,3500,422.40,0.00%,8.1,7.77,984.7
Change Due Time,100,476,450,563,15.84,0.00%,8.0,3.88,494.8
Create Item Z,100,497,456,1302,109.74,0.00%,8.0,7.69,984.6
Move item,100,503,459,1241,105.50,0.00%,8.1,7.77,984.2
Empty Recycle Bin,100,498,242,1271,141.12,0.00%,8.3,3.70,456.4
Get all Items project B,100,491,241,1485,177.47,0.00%,8.5,17.68,2126.4
Delete all items,300,456,227,3472,219.02,0.00%,24.7,11.75,487.4
Check Recycle Bin folder,100,407,232,1189,144.76,0.00%,8.9,4.35,498.4
TOTAL,5532,691,227,4344,519.07,0.00%,111.1,123.92,1142.0
