Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Get all Projects,10,321,239,496,107.45,0.00%,6.9,9.72,1436.2
Delete all projects,22,246,234,267,8.34,0.00%,16.5,13.91,861.0
Create Project A,10,472,451,490,10.01,0.00%,11.3,9.49,861.0
Create Project B,10,473,452,504,16.45,0.00%,11.1,9.30,861.0
Project B as Chlid project A,10,467,454,479,8.05,0.00%,10.9,9.20,863.0
Create Item X,10,475,462,497,10.29,0.00%,10.6,10.23,989.0
Change priority Task,10,472,460,493,9.12,0.00%,10.8,10.43,989.0
Create Item Y,10,478,462,501,11.92,0.00%,10.4,10.07,989.0
Change Due Time,10,461,447,472,8.80,0.00%,10.3,5.03,499.0
Create Item Z,10,477,465,492,8.92,0.00%,10.1,9.78,989.0
Move item,10,931,472,4886,1318.24,0.00%,1.9,1.79,989.0
Empty Recycle Bin,10,1156,245,4794,1809.43,0.00%,1.9,0.89,468.3
Get all Items project B,10,251,242,263,6.84,0.00%,1.9,4.05,2131.0
Delete all items,30,239,230,252,7.24,0.00%,5.4,2.57,491.0
Check Recycle Bin folder,10,243,233,262,8.34,0.00%,2.0,0.96,501.0
TOTAL,182,436,230,4886,577.92,0.00%,15.4,13.20,875.4
