Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Get all Projects,10,497,265,742,197.95,0.00%,6.6,42.78,6672.4
Delete all projects,168,246,229,610,29.15,0.00%,16.4,13.10,817.0
Create Project A,10,473,461,490,10.11,0.00%,6.6,5.59,861.0
Create Project B,10,475,462,490,9.31,0.00%,6.6,5.52,861.0
Project B as Chlid project A,10,481,459,493,9.96,0.00%,6.5,5.49,863.0
Create Item X,10,475,458,496,11.76,0.00%,6.5,6.23,989.0
Change priority Task,10,472,456,486,10.57,0.00%,6.3,6.13,989.0
Create Item Y,10,472,456,501,14.48,0.00%,6.3,6.08,989.0
Change Due Time,10,541,452,1259,239.33,0.00%,6.3,3.06,499.0
Create Item Z,10,468,454,491,11.98,0.00%,6.2,6.01,989.0
Move item,10,472,459,492,10.30,100.00%,6.1,22.75,3790.0
Empty Recycle Bin,10,257,244,276,10.01,0.00%,6.9,3.12,461.0
Get all Items project B,10,248,242,255,4.46,0.00%,7.0,10.84,1588.0
Check Recycle Bin folder,10,242,236,252,5.35,0.00%,6.9,3.39,501.0
TOTAL,298,326,229,1259,127.83,3.36%,27.7,30.71,1133.5
