Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Get all Projects,40,439,234,3708,535.36,0.00%,8.6,11.84,1404.8
Delete all projects,84,273,230,854,93.00,0.00%,10.8,9.05,860.9
Create Project A,40,474,450,507,14.24,0.00%,5.3,4.42,861.0
Create Project B,40,515,453,1367,178.28,0.00%,5.3,4.42,861.0
Project B as Chlid project A,40,476,448,506,13.35,0.00%,5.2,4.42,863.0
Create Item X,40,474,452,504,14.28,0.00%,5.2,5.06,989.0
Change priority Task,40,476,451,504,12.12,0.00%,5.3,5.07,989.0
Create Item Y,40,495,451,1222,117.06,0.00%,5.3,5.07,989.0
Change Due Time,40,489,455,1220,117.55,0.00%,5.2,2.56,499.0
Create Item Z,40,519,453,1287,172.40,0.00%,4.8,4.59,989.0
Move item,40,496,457,1226,117.50,0.00%,4.8,4.60,989.0
Empty Recycle Bin,40,250,235,279,8.77,0.00%,4.9,2.20,461.0
Get all Items project B,40,302,240,1025,182.51,0.00%,4.9,9.69,2022.3
Delete all items,111,242,227,723,46.35,0.00%,12.2,5.86,491.0
Check Recycle Bin folder,40,247,231,279,10.24,0.00%,4.4,4.29,989.0
TOTAL,715,386,227,3708,195.12,0.00%,47.6,41.80,899.4
