Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Get all Projects,40,347,262,1506,252.56,0.00%,19.1,120.50,6475.1
Delete all projects,653,244,229,619,32.09,0.00%,61.3,48.84,815.7
Create Project A,40,543,450,1257,220.12,0.00%,21.0,17.66,861.0
Create Project B,40,476,452,515,12.89,0.00%,20.9,17.57,861.0
Project B as Chlid project A,40,476,450,504,13.82,0.00%,21.0,17.70,863.0
Create Item X,40,496,451,1199,113.12,0.00%,18.1,17.51,989.0
Change priority Task,40,477,459,508,11.73,0.00%,18.2,17.62,989.0
Create Item Y,40,493,452,1223,117.57,0.00%,18.4,17.76,989.0
Change Due Time,40,467,445,489,11.80,0.00%,18.3,8.93,499.0
Create Item Z,40,493,453,1242,120.27,0.00%,18.4,17.75,989.0
Move item,40,473,451,508,12.82,100.00%,18.7,69.15,3790.0
Empty Recycle Bin,40,257,237,323,15.36,0.00%,20.9,9.40,461.0
Get all Items project B,40,252,237,281,9.15,0.00%,21.1,32.65,1588.0
Check Recycle Bin folder,40,246,232,263,7.08,0.00%,20.7,10.13,501.0
TOTAL,1173,323,229,1506,135.58,3.41%,104.9,115.88,1131.1
