Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Get all Projects,10,481,260,645,89.68,0.00%,7.3,13.31,1879.8
Delete all projects,54,241,228,258,7.90,0.00%,7.0,4.89,713.5
Create Project A,10,477,466,495,9.18,0.00%,4.9,4.14,860.2
Create Project B,10,616,452,1220,291.71,0.00%,4.9,4.11,860.3
Project B as Chlid project A,10,471,459,485,8.93,0.00%,4.9,4.14,863.0
Create Item X,10,475,454,504,12.53,0.00%,4.9,4.73,989.0
Change priority Task,10,556,460,1275,239.74,0.00%,4.2,4.02,989.0
Create Item Y,10,473,461,484,7.70,0.00%,4.1,4.01,989.0
Change Due Time,10,472,455,485,8.36,0.00%,4.1,2.02,499.0
Create Item Z,10,521,474,649,63.20,0.00%,4.1,3.98,989.0
Move item,10,472,456,499,14.33,100.00%,4.2,15.37,3790.0
Empty Recycle Bin,10,250,242,262,6.02,0.00%,4.6,2.05,461.0
Get all Items project B,10,246,235,260,7.39,0.00%,4.5,7.05,1588.0
Check Recycle Bin folder,10,242,235,254,6.34,0.00%,4.5,2.19,501.0
TOTAL,184,383,228,1275,162.17,5.43%,22.5,22.78,1038.7
