Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Get all Projects,100,1222,453,2643,491.24,0.00%,22.7,248.71,11195.5
Delete all projects,2566,704,232,10414,668.69,0.00%,84.3,70.61,857.6
Create Project A,100,1185,452,4719,900.43,0.00%,5.8,4.83,856.3
Create Project B,100,1333,455,3656,730.69,0.00%,5.8,4.86,860.1
Project B as Chlid project A,100,1240,461,10557,1189.83,1.00%,6.0,5.24,889.8
Create Item X,100,1141,459,2235,527.91,0.00%,6.1,5.89,987.1
Change priority Task,100,1009,457,2121,543.72,0.00%,6.2,5.99,986.1
Create Item Y,100,1148,453,4349,595.00,0.00%,6.1,5.86,986.9
Change Due Time,100,997,461,2290,571.60,0.00%,6.3,3.05,495.7
Create Item Z,100,1153,462,2162,501.03,1.00%,6.5,6.41,1015.5
Move item,100,999,469,9831,1080.71,1.00%,4.1,4.01,991.4
Empty Recycle Bin,100,1138,242,9768,1111.33,0.00%,4.2,1.89,459.5
Get all Items project B,100,739,239,9722,1043.75,0.00%,4.4,9.19,2122.9
Delete all items,299,926,227,9740,1446.92,0.00%,12.8,6.13,488.3
Check Recycle Bin folder,100,871,234,9763,1435.28,0.00%,4.8,2.34,497.3
TOTAL,4165,840,227,10557,840.44,0.07%,83.9,90.15,1099.9
