Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Get all Projects,70,973,367,1421,171.11,0.00%,25.1,155.48,6347.8
Delete all projects,982,550,381,3501,163.70,0.00%,74.5,62.26,856.0
Create Project A,70,516,455,1317,132.25,0.00%,10.1,8.46,856.2
Create Project B,70,524,466,1466,118.93,0.00%,10.1,8.46,856.6
Project B as Chlid project A,70,561,458,3550,373.36,0.00%,10.1,8.45,858.0
Create Item X,70,582,468,1497,184.06,0.00%,10.1,9.68,984.0
Change priority Task,70,540,455,1242,103.74,0.00%,10.1,9.67,984.0
Create Item Y,70,527,465,1235,101.33,0.00%,10.0,9.65,984.0
Change Due Time,70,508,450,1250,100.92,0.00%,10.1,4.87,494.0
Create Item Z,70,505,457,1194,85.86,0.00%,10.1,9.73,984.0
Move item,70,492,460,588,20.34,0.00%,10.2,9.80,984.1
Empty Recycle Bin,70,564,242,3518,384.76,0.00%,10.6,4.72,456.1
Get all Items project B,70,543,246,3486,369.69,0.00%,10.6,21.96,2126.3
Delete all items,210,461,232,546,63.00,0.00%,30.7,14.57,486.5
Check Recycle Bin folder,70,449,236,529,86.20,0.00%,12.4,6.01,497.8
TOTAL,2102,546,232,3550,197.97,0.00%,105.5,105.95,1028.4
