Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Get all Projects,40,276,259,496,35.75,0.00%,30.8,193.15,6423.1
Delete all projects,648,254,228,1197,58.07,0.00%,62.9,50.10,815.3
Create Project A,40,511,450,1292,172.66,0.00%,24.8,20.84,861.0
Create Project B,40,470,450,495,13.14,0.00%,24.8,20.83,861.0
Project B as Chlid project A,40,472,450,510,14.50,0.00%,24.5,20.62,863.0
Create Item X,40,472,452,499,11.83,0.00%,24.8,23.97,989.0
Change priority Task,40,473,452,498,11.64,0.00%,24.9,24.03,989.0
Create Item Y,40,476,451,509,12.87,0.00%,25.4,24.53,989.0
Change Due Time,40,472,446,507,13.06,0.00%,25.1,12.24,499.0
Create Item Z,40,516,455,1241,164.75,0.00%,24.8,24.00,989.0
Move item,40,496,452,1413,147.09,100.00%,23.0,85.04,3790.0
Empty Recycle Bin,40,254,238,280,10.06,0.00%,26.2,11.78,461.0
Get all Items project B,40,247,238,262,5.51,0.00%,26.8,41.52,1588.0
Check Recycle Bin folder,40,245,234,290,10.48,0.00%,26.7,13.08,501.0
TOTAL,1168,325,228,1413,126.67,3.42%,107.5,118.70,1130.5
